"";"CODIGO";"NOME";"ITEM_MEDICO";"ITEM";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_2017_TOTAL_BN";"C_2017_TOTAL_QUANTIDADE";"C_2017_TOTAL_REVISAO";"C_2017_TOTAL_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR"
"11";594480;"HOSPITAL SANTA IZABEL";84009907;"Angioplastia Coronária Com Stent Farmacológico - Hospitalar";4;4;0;86154,96;3;3;0;64616,22;NA;NA;NA;NA;6;6;0;129232,44;10;10;0;215387,4;9;9;0;193848,66;17;17;0;361184,28;11;11;0;232946,7;6;6;0;128237,58;9;9;0;193848,66;6;6;0;128237,58;16;12;0;257470,02;67;63;86154,96;1342017,72;12;9;64616,22;191858,94;9;8;21538,74;172309,92;11;11;0;234936,42;8;8;0;171315,06;11;11;0;233941,56;4;4;0;84165,24;4;4;0;83170,38;8;8;0;170320,2
"12";594480;"HOSPITAL SANTA IZABEL";219762;"DAKLINZA 60 ml bl al plas trans cx 28 cprs rev";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51;1848;0;1294653,36;1;28;0;19615,96;13;392;0;274623,44;13;616;0;431551,12;7;196;0;137311,72;4;196;0;137311,72;5;140;0;98079,8;5;196;0;137311,72;3;84;0;58847,88
"13";594480;"HOSPITAL SANTA IZABEL";219760;"VIEKIRA PAK CPRS REV";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0;0;36;5040;0;1185004,8;4;560;0;131667,2;2;224;0;52666,88;3;336;0;79000,32;6;1008;0;237000,96;6;784;0;184334,08;6;1008;0;237000,96;6;784;0;184334,08;3;336;0;79000,32
"14";594480;"HOSPITAL SANTA IZABEL";219648;"REMSIMA  10 mg/ml po liof. FA vd. x 10 ml";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;0;8038,98;5;16;0;42874,56;8;26;0;69671,16;144;439;0;1176370,74;26;75;0;200974,5;9;29;0;77710,14;24;70;0;187576,2;15;46;0;123264,36;23;69;0;184896,54;13;45;0;120584,7;23;70;0;187576,2;11;35;0;93788,1
"15";594480;"HOSPITAL SANTA IZABEL";71006291;"Respirador Qualquer Tipo Com Oxigenio  Por Hora";40;5528;384;176896;21;1873;0;59936;7;637;6752;20384;33;4294;0;137408;44;4816;0;154112;34;3078;832;98496;47;5505;0;176160;38;4816;0;154112;28;3859;0;123488;32;2572;0;82304;44;5311;0;169952;38;2856;0;91392;351;36696;82592;1174272;58;5417;23008;173344;31;2927;1952;93664;41;3467;5280;110944;39;2512;35040;80384;39;4229;608;135328;40;4237;0;135584;53;8264;8320;264448;50;5643;8384;180576
"16";594480;"HOSPITAL SANTA IZABEL";71001141;"Uti - Pediátrica";14;140;0;166474;8;57;0;67778,7;8;36;27349,3;42807,6;17;161;0;191445,1;31;242;0;287762,2;14;128;0;152204,8;27;260;0;309166;24;183;0;217605,3;13;120;0;142692;9;37;0;43996,7;21;175;0;208092,5;22;109;0;129611,9;138;921;30916,6;1095161,1;26;168;21403,8;199768,8;13;90;0;107019;17;103;0;122477,3;12;48;5945,5;57076,8;20;95;3567,3;112964,5;14;96;0;114153,6;17;166;0;197390,6;19;155;0;184310,5
"17";594480;"HOSPITAL SANTA IZABEL";217950;"EQUIPO INFUSOMAT SPACE SET AIR IL";220;972;0;123083,3;102;377;0;47837,53;89;167;0;20175,51;185;609;0;76878,52;192;658;0;83425,85;170;607;0;76945,3;249;804;0;102019,56;219;837;0;106206,93;185;645;0;81844,05;229;917;0;116231,24;259;1063;0;134884,07;246;817;0;103614,82;1880;8418;0;1067485,25;257;1201;0;152394,89;175;758;0;96182,62;248;957;0;121306,53;194;826;0;104811,14;245;1180;0;149721,08;241;1127;0;142751,25;260;1159;0;146938,62;260;1210;0;153379,12
"18";594480;"HOSPITAL SANTA IZABEL";12722;"ENBREL - 50 mg. est. + acess. aplic.";21;103;0;168904,55;7;12;0;19678,2;23;119;0;188582,75;21;104;0;170544,4;21;91;0;149226,35;11;29;0;47555,65;20;81;0;132827,85;19;90;0;149919,88;18;80;0;134759,5;13;79;0;132976,79;18;82;0;138182,06;20;57;0;96185,79;142;586;0;988857,42;20;87;0;146809,89;16;58;0;97873,26;18;86;0;145122,42;20;81;0;136685,07;20;84;0;141747,48;16;61;0;102935,67;17;72;0;121497,84;15;57;0;96185,79
"19";594480;"HOSPITAL SANTA IZABEL";40010;"Plantão De 12 Horas Por Paciente Em Uti";137;1712;1872;133848;62;641;0;49998;38;298;3978;28938;102;1049;780;93834;119;1306;0;116376;102;1067;1092;98748;153;1650;0;156390;113;1193;0;101556;100;1057;624;82446;123;1160;0;90480;147;1557;0;121446;164;1239;0;96642;1078;11453;74646;893334;192;1792;45240;139776;97;956;312;74568;150;1368;3198;106704;107;927;16224;72306;151;1582;468;123396;107;1359;156;106002;134;1693;5928;132054;140;1776;3120;138528
"20";594480;"HOSPITAL SANTA IZABEL";71005021;"Assistencia Fisioterapica - 12hs ( Apenas Uma Por Dia )";271;1851;1800;92550;110;615;0;30750;213;1220;1650;61000;247;1590;450;79500;306;1715;400;85750;302;1808;2550;90400;372;2344;4250;117200;334;2010;1200;100500;267;1694;2300;84700;295;1983;1700;99150;354;2425;1650;121250;348;1905;0;95250;2724;17748;44350;887400;382;2137;27050;106850;250;1544;4100;77200;323;2288;300;114400;291;1779;7750;88950;385;2672;1650;133600;350;2264;1000;113200;393;2562;1550;128100;350;2502;950;125100
"21";594480;"HOSPITAL SANTA IZABEL";216137;"PROVISORIO";2;6;0;10949,64;1;2;0;5479,22;1;2;0;5479,22;2;5;0;8526,09;2;7;0;7426,71;NA;NA;NA;NA;2;4;0;36072,09;3;7;0;75093,93;NA;NA;NA;NA;1;2;0;2189,92;3;8;0;108119,15;2;7;0;19894,44;60;301;0;879522,52;40;213;0;466864,84;3;10;0;100085,84;4;34;0;116817,17;2;5;0;18799,43;3;6;0;80888,82;2;3;0;39708,61;3;15;0;7031,22;3;15;0;49326,59
"22";594480;"HOSPITAL SANTA IZABEL";84009927;"Cateterismo Seguido De Angioplastia Com Stent Farmacológico - Hospital";3;3;0;68778,91;3;3;0;68778,91;NA;NA;NA;NA;4;4;0;92108,21;5;5;0;116646,5;5;5;0;113019,53;8;8;0;182402,94;6;6;0;136348,83;3;3;0;67569,92;8;8;0;179380,46;2;2;0;44240,62;6;5;0;115437,51;40;38;45449,61;866565,07;7;6;23329,3;138766,81;5;5;0;114228,52;5;5;0;114228,52;3;2;22120,31;45449,61;5;5;0;111810,54;5;5;0;113624,03;3;3;0;69987,9;7;7;0;158469,14
"23";594480;"HOSPITAL SANTA IZABEL";7795;"MABTHERA - 500 mg. 1 FA";3;5;0;30935,25;2;4;0;24748,2;8;24;0;136115,1;11;23;0;142302,15;7;18;0;111366,9;4;8;0;49496,4;5;8;0;49496,4;4;5;0;30935,25;7;13;0;80431,65;7;12;0;74947,65;9;21;0;131755,98;7;19;0;120225,54;65;129;0;815705,7;12;25;0;157910,28;7;11;0;69604,26;4;6;0;37684,74;5;10;0;63276,6;9;18;0;113897,88;7;14;0;88587,24;11;24;0;151863,84;10;21;0;132880,86
"24";594480;"HOSPITAL SANTA IZABEL";84009947;"Kit Stent Farmacológico Adicional";5;5;0;67721,35;5;5;0;67721,35;NA;NA;NA;NA;5;5;0;56103,8;8;8;0;108354,16;9;9;0;121898,43;15;15;0;203164,05;11;11;0;148986,97;3;3;0;40632,81;10;10;0;135442,7;4;4;0;54177,08;11;7;0;94809,89;61;57;54177,08;772023,39;14;11;40632,81;148986,97;8;7;13544,27;94809,89;8;8;0;108354,16;7;7;0;94809,89;8;8;0;108354,16;5;5;0;67721,35;4;4;0;54177,08;7;7;0;94809,89
"25";594480;"HOSPITAL SANTA IZABEL";84008097;"Cateterismo Cardíaco Com Ou Sem Ventriculografia - Hospitalar";28;28;0;63815,68;14;14;0;32171,84;18;18;0;41590,08;33;33;0;75896,48;45;45;0;102743,2;39;40;0;90838,4;53;54;0;121954,24;50;48;0;109674,88;41;42;0;96691,52;52;51;2310,56;115902,56;48;47;2310,56;107012,32;51;38;0;86393,28;356;339;34669,68;771487,84;63;50;30224,56;114120;46;45;2310,56;101863,2;57;55;0;125320,8;31;30;2134,56;68788,8;52;53;0;121051,68;36;36;0;81772,16;42;41;0;93148,96;29;29;0;65422,24
"26";594480;"HOSPITAL SANTA IZABEL";84002047;"Revascularização Do Miocárdio C/ Circulação Extra Corpórea ( Hospital )";4;4;0;113843,28;1;1;0;28460,82;3;3;0;81071,99;NA;NA;NA;NA;6;6;0;170764,92;5;5;0;129988,48;3;3;0;81071,99;4;4;0;113843,28;NA;NA;NA;NA;4;4;0;108917,03;2;2;0;54458,52;13;12;0;323139,09;31;27;28460,82;760987,89;5;4;28460,82;103990,78;3;3;0;85382,46;1;0;0;0;4;4;0;113843,28;4;4;0;112611,72;4;4;0;108917,03;8;7;0;194299,49;2;1;0;41943,13
"27";594480;"HOSPITAL SANTA IZABEL";17355;"PIPERACILINA  +  TAZOBACTAM  -  GENERICO - 4,50 mg ct c/10 FA";36;450;0;37750,5;19;138;0;11576,82;19;273;0;22901,97;51;794;0;66608,66;47;652;0;54696,28;41;759;0;63672,42;73;947;0;79443,83;60;1045;0;87665,05;46;792;0;67467,6;42;644;0;58032,68;56;932;0;85562,96;61;622;0;57329,74;477;8251;0;760494,67;66;963;0;88759,71;39;669;0;61661,73;42;688;0;63412,96;39;581;0;53550,77;83;1638;0;150974,46;67;1261;0;116226,37;72;1388;0;127931,96;69;1063;0;97976,71
"28";594480;"HOSPITAL SANTA IZABEL";71001021;"Enfermaria Pediátrica";93;407;0;89865,6;29;112;309,12;24729,6;74;276;1545,6;60940,8;78;307;0;67785,6;84;360;0;79487,16;114;434;1104;95827,2;102;463;220,8;102230,4;97;482;0;106425,6;65;264;0;58291,2;72;295;0;65136;93;436;0;96268,8;82;326;0;71980,8;807;3402;38573,76;751020,8;87;304;16052,16;67123,2;53;257;4195,2;56745,6;86;344;0;75955,2;80;312;11260,8;68889,6;130;567;7065,6;125052,8;118;553;0;122102,4;131;581;0;128284,8;122;484;0;106867,2
"29";594480;"HOSPITAL SANTA IZABEL";151513;"KIT PRISMAFLEX M100";11;39;0;108423,12;3;7;0;19460,56;NA;NA;NA;NA;4;8;0;22240,64;3;6;0;16680,48;11;22;0;60313,6;12;25;0;66533,44;5;27;0;26257,14;9;13;0;36141,04;7;30;0;82554,24;10;29;0;80610,52;18;25;0;69502;91;258;0;715564,32;16;45;0;124679,52;3;15;0;41701,2;11;31;0;86182,48;5;9;0;25020,72;13;34;0;94098,64;10;28;0;77842,24;17;51;0;141784,08;16;45;0;124255,44
"30";594480;"HOSPITAL SANTA IZABEL";72000011;"Consulta De Emergencia";1341;1406;0;118807;131;132;0;11154;419;427;0;36081,5;1676;1772;0;149500;1119;1161;0;98065,5;980;1017;0;85936,5;761;794;84,5;67093;1124;1170;0;98865;1535;1605;0;135622,5;950;984;0;83148;832;868;0;73346;1000;1050;0;88725;8117;8425;253,5;711912,5;748;765;253,5;64642,5;676;695;0;58727,5;1276;1334;0;112723;1019;1067;0;90161,5;1059;1101;0;93034,5;1026;1058;0;89401;1019;1050;0;88725;1294;1355;0;114497,5
"31";594480;"HOSPITAL SANTA IZABEL";84005967;"Implante De Marcapasso Multissitio/Cardiodesfibrilador (Cdi) Via Tranvenosa (Hospital)";NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;86042,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;86042,4;1;1;0;86042,4;1;1;0;86042,4;NA;NA;NA;NA;NA;NA;NA;NA;8;8;0;687592,05;1;1;0;86042,4;1;1;0;86042,4;2;2;0;172084,8;2;2;0;172084,8;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;85295,25;1;1;0;86042,4
"32";594480;"HOSPITAL SANTA IZABEL";26072;"ORENCIA - Sol. inj. 250 mg.";22;85;0;138529,6;2;6;0;9778,56;19;84;0;136899,84;17;66;0;107564,16;19;61;0;99415,36;7;18;0;29335,68;13;45;0;73854,81;18;78;0;129126,43;19;62;0;104253,36;10;30;0;50611,5;19;75;0;126528,75;19;61;0;102910,05;129;394;0;664697,7;18;68;0;114719,4;11;38;0;64107,9;18;55;0;92787,75;15;42;0;70856,1;18;55;0;92787,75;16;45;0;75917,25;19;54;0;91100,7;14;37;0;62420,85
"33";594480;"HOSPITAL SANTA IZABEL";18754;"TEICOPLANINA - GENERICO - 400  mg.  po  liof.  sol.  inj. FA vd. + dil.  amp. pla";21;194;0;64074,32;6;37;0;12220,36;6;52;0;17174,56;19;158;0;52184,24;17;208;0;68698,24;20;147;0;48551,16;26;215;0;71010,2;26;230;0;75964,4;22;132;0;44115,96;26;241;0;84398,23;28;190;0;67502,05;29;162;0;57709,26;217;1761;0;627321,03;31;248;0;88345,04;14;103;0;36691,69;27;192;0;68396,16;25;256;0;91194,88;37;292;0;104019,16;24;252;0;89769,96;31;241;0;85851,43;28;177;0;63052,71
"34";594480;"HOSPITAL SANTA IZABEL";7806;"HERCEPTIN 440 MG. 1 FR. + 1 FR. DIL. X 20 ML - 440 mg. 1 fr. + 1 fr. dil. x 20 ml - 1 miligrama";2;1116;0;25935,84;1;384;0;8924,16;2;1142;0;26540,08;3;1500;0;34860;1;534;0;12410,16;NA;NA;NA;NA;2;2340;0;54381,6;2;1644;0;38206,56;2;822;0;19103,28;2;1260;0;31510,02;1;876;0;22732,2;3;1188;0;30828,6;40;24025;0;623448,75;4;2463;0;63914,85;4;2138;0;55481,1;4;1682;0;43647,9;6;4156;0;107848,2;5;3676;0;95392,2;6;3464;0;89890,8;5;2336;0;60619,2;6;4110;0;106654,5
"35";594480;"HOSPITAL SANTA IZABEL";72001001;"Atendimento Basico De Emergencia";764;808;0;100596;79;79;0;9835,5;163;164;0;20418;624;645;249;80302,5;696;713;0;88768,5;635;657;0;81796,5;627;642;0;79929;667;694;0;86403;832;876;0;109062;589;615;0;76567,5;551;563;0;70093,5;728;751;0;93499,5;4795;4936;1369,5;614532;629;624;1369,5;77688;479;493;0;61378,5;746;768;0;95616;556;572;0;71214;557;578;0;71961;577;602;0;74949;597;619;0;77065,5;654;680;0;84660
"36";594480;"HOSPITAL SANTA IZABEL";219402;"NUTRICAO ENTERAL HIPERCALORICA/HIPERPROTEICA 1000 ML SIST ABERTO (ML)";48;506365;0;96209,35;23;118800;0;22572;24;192995;0;36669,05;42;357313;0;67889,47;40;342432;0;65062,08;39;220775;0;41947,25;51;362720;0;68916,8;41;310659;0;59025,21;34;242530;0;46080,7;25;134950;0;25640,5;40;268045;0;50928,55;36;217360;0;41298,4;364;3067541;0;582832,79;41;313820;0;59625,8;31;231000;0;43890;50;298550;0;56724,5;41;319055;0;60620,45;59;599792;0;113960,48;34;316093;0;60057,67;53;499002;0;94810,38;55;490229;0;93143,51
"37";594480;"HOSPITAL SANTA IZABEL";122414;"EQUIPO INTRAFIX PRIMELINE AIR IL 401450P";417;3200;0;74432;167;1302;0;30284,52;301;1279;0;29738,29;399;2441;0;56777,66;394;2359;0;54870,34;321;2098;0;48777,04;401;3152;0;73315,52;410;3172;0;73780,72;339;2194;0;51032,44;377;2893;0;67291,18;418;3220;0;74897,2;428;2690;0;62569,4;3053;24906;0;579239,55;421;3441;0;80037,66;297;2168;0;50427,68;411;3225;0;75011,1;313;2444;0;56847,44;452;3814;0;88642,18;349;3024;0;70338,24;441;3518;0;81828,53;369;3272;0;76106,72
"38";594480;"HOSPITAL SANTA IZABEL";71005031;"Assistencia Fisioterapica - 24 Hs ( Apenas Para Uti/Semi )";133;864;1200;86400;63;338;0;33800;34;146;2600;14600;99;543;500;54300;113;620;0;62000;103;554;1200;55400;147;824;0;82400;115;626;0;62600;96;505;400;50500;122;602;0;60200;147;784;0;78400;158;588;0;58800;1050;5538;50100;553800;190;836;30300;83600;94;433;200;43300;138;638;2100;63800;103;432;11500;43200;145;747;0;74700;106;691;100;69100;133;879;3900;87900;141;882;2000;88200
"39";594480;"HOSPITAL SANTA IZABEL";34010173;"TC do Abdome Total (Abdôme Superior, Pelve E Retroperitônio)";189;206;0;80397,85;53;52;390,85;20324,2;81;82;0;32049,7;105;108;0;42094,55;144;151;0;58816,39;97;97;390,85;37912,45;165;173;0;67617,05;179;188;0;73479,8;127;137;0;53546,45;87;90;0;35176,5;164;166;0;64881,1;208;182;0;71033,72;1362;1382;13679,75;539640,07;263;253;11725,5;98767,8;84;86;0;33613,1;188;188;390,85;73479,8;151;152;781,7;59409,2;222;231;0;90185,37;152;162;0;63317,7;162;167;390,85;65170,97;140;143;390,85;55696,13
"40";594480;"HOSPITAL SANTA IZABEL";219006;"SIMPONI 50MG SOL INJ 1 SER 0,5 ML CANETA";13;14;0;48449,94;1;1;0;3460,71;14;22;0;76135,62;12;12;0;41528,52;11;12;0;41528,52;6;6;0;20764,26;9;10;0;34607,1;7;7;0;24346,61;13;13;0;46448,91;12;16;0;57317,6;16;19;0;68064,65;15;16;0;57317,6;136;147;0;526605,45;17;19;0;68064,65;18;19;0;68064,65;15;16;0;57317,6;17;19;0;68064,65;17;19;0;68064,65;18;20;0;71647;17;17;0;60899,95;17;18;0;64482,3
"41";594480;"HOSPITAL SANTA IZABEL";23463;"HENETIX 350 - FA 100 ml x 1";178;189;0;68057,01;62;62;0;22325,58;120;118;0;42490,62;133;138;0;49692,42;158;162;0;58334,58;61;62;0;22325,58;62;68;0;24486,12;145;153;0;55093,77;156;165;0;59414,85;129;140;0;50412,6;190;207;0;74538,63;209;200;0;72018;1382;1457;0;524651,13;245;264;0;95063,76;91;94;0;33848,46;205;211;0;75978,99;152;162;0;58334,58;207;220;0;79219,8;181;195;0;70217,55;170;172;0;61935,48;131;139;0;50052,51
