"";"prestador";"anomes";"escala"
"130";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201405";0,818024688409752
"131";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201406";0,811645994979537
"132";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201407";-0,550842809045198
"133";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201408";-0,533345883116748
"134";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201409";-0,112855467996112
"135";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201410";0,974715001105786
"136";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201411";-0,469784757397527
"137";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201412";0,776336856128233
"138";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201501";-0,172689108998911
"139";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201502";-0,298813295889857
"140";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201503";-0,0939022879630851
"141";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201504";-0,486915788919432
"142";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201505";-0,316611049552097
"143";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201506";1,10045798930785
"144";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201507";0,118506222156647
"145";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201508";-0,157134042992501
"146";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201509";-0,0866086237882446
"147";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201510";-0,627535009009522
"148";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201511";-0,388353957278214
"149";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201512";0,917347227385291
"150";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201601";0,221405831981712
"151";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201602";-0,0276262013355498
"152";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201603";0,331103453794765
"153";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201604";-0,861331770097305
"154";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201605";-0,397528921484866
"155";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201606";0,811104242163069
"156";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201607";-0,306554633795878
"157";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201608";0,293160288338059
"158";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201609";-0,0381104797580844
"159";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201610";-0,152332629556017
"160";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201611";-0,0740269075551264
"161";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201612";-0,788582910954268
"162";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201701";-0,0543708572302318
"163";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201702";-0,231151749199966
"164";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201703";-0,558066711982147
"165";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201704";0,979223661460511
"166";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201705";-0,981552916897414
"167";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201706";3,37732085872719
