"";"NM_AREA_AVALIACAO";"NM_PROGRAMA_IES";"QT_PRJ"
"150";"BIODIVERSIDADE";"ECOLOGIA E BIOMONITORAMENTO";21
"151";"BIODIVERSIDADE";"BIODIVERSIDADE E SAÚDE";20
"152";"BIODIVERSIDADE";"BIOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS";20
"153";"BIODIVERSIDADE";"BIOLOGIA EVOLUTIVA";20
"154";"BIODIVERSIDADE";"EVOLUÇÃO E DIVERSIDADE";20
"155";"BIODIVERSIDADE";"ECOLOGIA E MONITORAMENTO AMBIENTAL";19
"156";"BIODIVERSIDADE";"BIOLOGIA (ECOLOGIA)";18
"157";"BIODIVERSIDADE";"BIOLOGIA AMBIENTAL";18
"158";"BIODIVERSIDADE";"ECOLOGIA E BIODIVERSIDADE";17
"159";"BIODIVERSIDADE";"SISTEMAS AQUÁTICOS TROPICAIS";16
"160";"BIODIVERSIDADE";"ECOLOGIA DE ECOSSISTEMAS";15
"161";"BIODIVERSIDADE";"SUSTENTABILIDADE DE ECOSSISTEMAS COSTEIROS E MARINHOS";15
"162";"BIODIVERSIDADE";"BIODIVERSIDADE E EVOLUÇÃO";13
"163";"BIODIVERSIDADE";"SISTEMÁTICA, TAXONOMIA ANIMAL E BIODIVERSIDADE";13
"164";"BIODIVERSIDADE";"GENÉTICA E BIODIVERSIDADE";11
"165";"BIODIVERSIDADE";"SISTEMAS COSTEIROS E OCEÂNICOS";11
"166";"BIODIVERSIDADE";"BIOCIÊNCIAS (ZOOLOGIA)";10
"167";"BIODIVERSIDADE";"ETNOBIOLOGIA E CONSERVAÇÃO DA NATUREZA";10
"168";"BIODIVERSIDADE";"BIOLOGIA DE FUNGOS, ALGAS E PLANTAS";9
"169";"BIODIVERSIDADE";"BIOCIÊNCIAS";7
"170";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO DE RECURSOS NATURAIS";6
"171";"BIODIVERSIDADE";"RECURSOS AQUÁTICOS CONTINENTAIS AMAZÔNICOS";6
"172";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA)";5
"173";"BIODIVERSIDADE";"CONSERVAÇÃO DA BIODIVERSIDADE E DESENVOLVIMENTO SUSTENTÁVEL";5
"174";"BIODIVERSIDADE";"PERICIAS CRIMINAIS AMBIENTAIS";5
"175";"BIODIVERSIDADE";"SISTEMÁTICA E EVOLUÇÃO";5
"176";"BIODIVERSIDADE";"BIOLOGIA DE FUNGOS";4
"177";"BIODIVERSIDADE";"DIVERSIDADE BIOLÓGICA E CONSERVAÇÃO NOS TRÓPICOS";4
"178";"BIODIVERSIDADE";"ECOLOGIA APLICADA";3
"179";"BIODIVERSIDADE";"ECOLOGIA (CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE)";1
"180";"BIODIVERSIDADE";"ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS";1
"181";"BIOTECNOLOGIA";"BIOTECNOLOGIA";1046
"182";"BIOTECNOLOGIA";"BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE";307
"183";"BIOTECNOLOGIA";"BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL";75
"184";"BIOTECNOLOGIA";"BIOTECNOLOGIA - REDE RENORBIO";66
"185";"BIOTECNOLOGIA";"BIOTECNOLOGIA E BIODIVERSIDADE - REDE PRÓ-CENTRO-OESTE";65
"186";"BIOTECNOLOGIA";"BIOTECNOLOGIA FARMACÊUTICA";55
"187";"BIOTECNOLOGIA";"CIÊNCIAS NATURAIS E BIOTECNOLOGIA";36
"188";"BIOTECNOLOGIA";"BIOTECNOLOGIA INDUSTRIAL";29
"189";"BIOTECNOLOGIA";"CIÊNCIA E BIOTECNOLOGIA";29
"190";"BIOTECNOLOGIA";"BIOTECNOLOGIA E GESTÃO DA INOVAÇÃO";20
"191";"BIOTECNOLOGIA";"BIOTECNOLOGIA APLICADA À AGROPECUÁRIA";19
"192";"BIOTECNOLOGIA";"BIOTECNOLOGIA VEGETAL";18
"193";"BIOTECNOLOGIA";"BIOTECNOCIÊNCIA";15
"194";"BIOTECNOLOGIA";"BIOTECNOLOGIA DE RECURSOS NATURAIS";15
"195";"BIOTECNOLOGIA";"BIOTECNOLOGIA AMBIENTAL";14
"196";"BIOTECNOLOGIA";"BIOPRODUTOS E BIOPROCESSOS";12
"197";"BIOTECNOLOGIA";"BIOQUÍMICA";11
"198";"BIOTECNOLOGIA";"BIOTECNOLOGIA E MONITORAMENTO AMBIENTAL";11
"199";"BIOTECNOLOGIA";"BIOTECNOLOGIA MARINHA";11
"200";"BIOTECNOLOGIA";"CIÊNCIAS GENÔMICAS E BIOTECNOLOGIA";11
"201";"BIOTECNOLOGIA";"BIOTECNOLOGIA E INOVAÇÃO EM SAÚDE";10
"202";"BIOTECNOLOGIA";"TECNOLOGIAS DE BIOPRODUTOS AGROINDUSTRIAIS";10
"203";"BIOTECNOLOGIA";"CIÊNCIAS E BIOTECNOLOGIA";8
"204";"BIOTECNOLOGIA";"ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA";4
"205";"BIOTECNOLOGIA";"BIOTECNOLOGIA E BIOCIÊNCIAS";3
"206";"BIOTECNOLOGIA";"BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA";1
"207";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO";875
"208";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIAS DA COMPUTAÇÃO";382
"209";"CIÊNCIA DA COMPUTAÇÃO";"INFORMÁTICA";352
"210";"CIÊNCIA DA COMPUTAÇÃO";"COMPUTAÇÃO";203
"211";"CIÊNCIA DA COMPUTAÇÃO";"COMPUTAÇÃO APLICADA";129
"212";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DA COMPUTAÇÃO";67
"213";"CIÊNCIA DA COMPUTAÇÃO";"SISTEMAS E COMPUTAÇÃO";49
"214";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UFBA - UNIFACS - UEFS";37
"215";"CIÊNCIA DA COMPUTAÇÃO";"INFORMÁTICA APLICADA";34
"216";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA";29
"217";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE COMPUTAÇÃO E SISTEMAS";19
"218";"CIÊNCIA DA COMPUTAÇÃO";"SISTEMAS DE INFORMAÇÃO";17
"219";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE SOFTWARE";16
"220";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA E TECNOLOGIA DA COMPUTAÇÃO";15
"221";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL";15
"222";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UFMS - UFG";13
"223";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE SISTEMAS E COMPUTAÇÃO";1
"224";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";356
"225";"CIÊNCIA DE ALIMENTOS";"TECNOLOGIA DE ALIMENTOS";65
"226";"CIÊNCIA DE ALIMENTOS";"TECNOLOGIA AGROALIMENTAR";57
"227";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DO LEITE E DERIVADOS";47
"228";"CIÊNCIA DE ALIMENTOS";"ALIMENTOS E NUTRIÇÃO";25
"229";"CIÊNCIA DE ALIMENTOS";"ENGENHARIA DE ALIMENTOS";25
"230";"CIÊNCIA DE ALIMENTOS";"ENGENHARIA E CIÊNCIA DE ALIMENTOS";13
"231";"CIÊNCIA DE ALIMENTOS";"PÓS GRADUAÇÃO EM TECNOLOGIA DE ALIMENTOS";10
"232";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA DE ALIMENTOS";9
"233";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DE LEITE E DERIVADOS";7
"234";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DOS ALIMENTOS";6
"235";"CIÊNCIA DE ALIMENTOS";"CIÊNCIAS DE ALIMENTOS";3
"236";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIÊNCIA POLÍTICA";270
"237";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"RELAÇÕES INTERNACIONAIS";189
"238";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"POLÍTICAS PÚBLICAS";112
"239";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"POLÍTICAS PÚBLICAS EM DIREITOS HUMANOS";60
"240";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTUDOS ESTRATÉGICOS INTERNACIONAIS";38
"241";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"RELAÇÕES INTERNACIONAIS: POLÍTICA INTERNACIONAL";26
"242";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"GESTÃO DE POLÍTICAS PÚBLICAS E SEGURANÇA SOCIAL";24
"243";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"RELAÇÕES INTERNACIONAIS (UNESP - UNICAMP - PUC-SP)";20
"244";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CARTOGRAFIA SOCIAL E POLÍTICA DA AMAZÔNIA";18
"245";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";16
