"";"NM_AREA_AVALIACAO";"NM_PROGRAMA_IES";"QT_PRJ"
"17";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E NEGÓCIOS";53
"18";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO PARA A COMPETITIVIDADE";52
"19";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO - GESTÃO, INTERNACIONALIZAÇÃO E LOGÍSTICA";51
"20";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E ESTRATÉGIA";43
"21";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS";32
"22";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E DESENVOLVIMENTO RURAL";31
"23";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE COOPERATIVAS";31
"24";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E DESENVOLVIMENTO REGIONAL";31
"25";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO INTERNACIONAL";31
"26";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS";30
"27";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"HOSPITALIDADE";29
"28";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E DESENVOLVIMENTO EMPRESARIAL";28
"29";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"DESENVOLVIMENTO TERRITORIAL E SISTEMAS AGROINDUSTRIAIS";28
"30";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E POLÍTICAS PÚBLICAS";27
"31";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TURISMO E HOSPITALIDADE";27
"32";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E NEGÓCIOS";21
"33";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO CONTEMPORÂNEA DAS ORGANIZAÇÕES";20
"34";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM ORGANIZAÇÕES APRENDENTES";20
"35";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO UNIVERSITÁRIA";18
"36";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO AMBIENTAL E SUSTENTABILIDADE";18
"37";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CONTROLADORIA";17
"38";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TURISMO E HOTELARIA";17
"39";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE NEGÓCIOS TURÍSTICOS";16
"40";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE PROJETOS";16
"41";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO ORGANIZACIONAL";16
"42";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CIÊNCIAS CONTÁBEIS E ATUARIAIS";15
"43";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E INOVAÇÃO NA INDÚSTRIA ANIMAL";15
"44";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO ESTRATÉGICA DE ORGANIZAÇÕES";15
"45";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"EMPREENDEDORISMO";14
"46";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DO ESPORTE";14
"47";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE NEGÓCIOS";12
"48";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM ALIMENTOS E BEBIDAS (A&B)";12
"49";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM SISTEMAS DE SAÚDE";12
"50";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO";10
"51";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GOVERNANÇA CORPORATIVA";10
"52";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"COMPORTAMENTO DO CONSUMIDOR";9
"53";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CONTABILIDADE - UNB - UFPB - UFRN";9
"54";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"MESTRADO PROFISSIONAL EM CONTROLADORIA E FINANÇAS";9
"55";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EMPRESARIAL";8
"56";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE POLÍTICAS PÚBLICAS";7
"57";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL";7
"58";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DO DESENVOLVIMENTO DE NEGÓCIOS";5
"59";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"INOVAÇÃO E DESENVOLVIMENTO";5
"60";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TECNOLOGIAS, GESTÃO E SUSTENTABILIDADE";4
"61";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE POLÍTICAS E ORGANIZAÇÕES PÚBLICAS";3
"62";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTROPOLOGIA";746
"63";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTROPOLOGIA SOCIAL";536
"64";"ANTROPOLOGIA / ARQUEOLOGIA";"ARQUEOLOGIA";241
"65";"ANTROPOLOGIA / ARQUEOLOGIA";"CIÊNCIA SOCIAL (ANTROPOLOGIA SOCIAL)";55
"66";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA E URBANISMO";1261
"67";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN";605
"68";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA";111
"69";"ARQUITETURA, URBANISMO E DESIGN";"URBANISMO";64
"70";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA E URBANISMO E DESIGN";62
"71";"ARQUITETURA, URBANISMO E DESIGN";"AMBIENTE CONSTRUÍDO";48
"72";"ARQUITETURA, URBANISMO E DESIGN";"DINÂMICA DO ESPAÇO HABITADO";47
"73";"ARQUITETURA, URBANISMO E DESIGN";"URBANISMO, HISTÓRIA E ARQUITETURA DA CIDADE";43
"74";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA, TECNOLOGIA E CIDADE";37
"75";"ARQUITETURA, URBANISMO E DESIGN";"CECRE - CONSERVAÇÃO E RESTAURAÇÃO";36
"76";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN, TECNOLOGIA E INOVAÇÃO";30
"77";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO E PATRIMÔNIO";24
"78";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO E CIDADE";23
"79";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA PAISAGÍSTICA";16
"80";"ARQUITETURA, URBANISMO E DESIGN";"ERGONOMIA";16
"81";"ARQUITETURA, URBANISMO E DESIGN";"CIÊNCIAS DA CIDADE";9
"82";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO, PRODUÇÃO E GESTÃO DO ESPAÇO URBANO";8
"83";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN DE ARTEFATOS DIGITAIS";5
"84";"ARTES / MÚSICA";"MÚSICA";527
"85";"ARTES / MÚSICA";"ARTES";441
"86";"ARTES / MÚSICA";"ARTES VISUAIS";301
"87";"ARTES / MÚSICA";"ARTES CÊNICAS";260
"88";"ARTES / MÚSICA";"ARTES DA CENA";83
"89";"ARTES / MÚSICA";"PROFARTES";73
"90";"ARTES / MÚSICA";"HISTÓRIA DA ARTE";52
"91";"ARTES / MÚSICA";"ESTUDOS CONTEMPORANEOS DAS ARTES";46
"92";"ARTES / MÚSICA";"TEATRO";41
"93";"ARTES / MÚSICA";"ARTES VISUAIS (UFPB J.P. - UFPE)";36
"94";"ARTES / MÚSICA";"ARTES, CULTURA E LINGUAGENS";35
"95";"ARTES / MÚSICA";"DANÇA";30
"96";"ARTES / MÚSICA";"ENSINO DE ARTES CÊNICAS";27
"97";"ARTES / MÚSICA";"ARTE E CULTURA VISUAL";25
"98";"ARTES / MÚSICA";"ENSINO DAS PRÁTICAS MUSICAIS";18
"99";"ARTES / MÚSICA";"PROFISSIONAL EM MÚSICA";3
"100";"ARTES / MÚSICA";"COMPUTAÇÃO, COMUNICAÇÃO E ARTES";2
"101";"ASTRONOMIA / FÍSICA";"FÍSICA";2342
"102";"ASTRONOMIA / FÍSICA";"ENSINO DE FÍSICA - PROFIS";295
"103";"ASTRONOMIA / FÍSICA";"ASTRONOMIA";204
"104";"ASTRONOMIA / FÍSICA";"FÍSICA E ASTRONOMIA";58
"105";"ASTRONOMIA / FÍSICA";"FISICA APLICADA";55
"106";"ASTRONOMIA / FÍSICA";"FÍSICA - UFV";50
"107";"ASTRONOMIA / FÍSICA";"FÍSICA DA MATÉRIA CONDENSADA";43
"108";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA";39
"109";"ASTRONOMIA / FÍSICA";"FÍSICA - UFLA - UFSJ - UNIFAL";37
"110";"ASTRONOMIA / FÍSICA";"CIÊNCIAS";25
"111";"ASTRONOMIA / FÍSICA";"FÍSICA APLICADA";20
"112";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA E FÍSICA COMPUTACIONAL";14
"113";"ASTRONOMIA / FÍSICA";"FÍSICA E MATEMÁTICA APLICADA";14
"114";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO";8
"115";"BIODIVERSIDADE";"ECOLOGIA";840
"116";"BIODIVERSIDADE";"BIOLOGIA ANIMAL";366
"117";"BIODIVERSIDADE";"ZOOLOGIA";351
"118";"BIODIVERSIDADE";"BIOLOGIA VEGETAL";308
"119";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO";257
"120";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (ZOOLOGIA)";228
"121";"BIODIVERSIDADE";"ECOLOGIA E EVOLUÇÃO";212
"122";"BIODIVERSIDADE";"BOTÂNICA";204
"123";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS";196
"124";"BIODIVERSIDADE";"BIOLOGIA COMPARADA";145
"125";"BIODIVERSIDADE";"DIVERSIDADE ANIMAL";144
"126";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (BOTÂNICA)";132
"127";"BIODIVERSIDADE";"ECOLOGIA DE BIOMAS TROPICAIS";118
"128";"BIODIVERSIDADE";"BIODIVERSIDADE E CONSERVAÇÃO";115
"129";"BIODIVERSIDADE";"ECOLOGIA AQUÁTICA E PESCA";110
"130";"BIODIVERSIDADE";"BIODIVERSIDADE TROPICAL";109
"131";"BIODIVERSIDADE";"ECOLOGIA E RECURSOS NATURAIS";107
"132";"BIODIVERSIDADE";"BIODIVERSIDADE VEGETAL";106
"133";"BIODIVERSIDADE";"OCEANOGRAFIA";103
"134";"BIODIVERSIDADE";"ECOLOGIA E BIOMONITORAMENTO";86
"135";"BIODIVERSIDADE";"BIODIVERSIDADE, ECOLOGIA E CONSERVAÇÃO.";83
"136";"BIODIVERSIDADE";"BIOLOGIA DE VERTEBRADOS";82
"137";"BIODIVERSIDADE";"OCEANOGRAFIA BIOLÓGICA";79
"138";"BIODIVERSIDADE";"BIOPROSPECÇÃO MOLECULAR";76
"139";"BIODIVERSIDADE";"SAÚDE HUMANA E MEIO AMBIENTE";74
"140";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA)";69
"141";"BIODIVERSIDADE";"BIOLOGIA MARINHA E AMBIENTES COSTEIROS";68
"142";"BIODIVERSIDADE";"BIODIVERSIDADE E SAÚDE";67
"143";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE";62
"144";"BIODIVERSIDADE";"BIOLOGIA (ECOLOGIA)";60
"145";"BIODIVERSIDADE";"ENTOMOLOGIA";59
"146";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (BIODIVERSIDADE NEOTROPICAL)";58
"147";"BIODIVERSIDADE";"BIOLOGIA GERAL";57
"148";"BIODIVERSIDADE";"BIODIVERSIDADE E EVOLUÇÃO";55
"149";"BIODIVERSIDADE";"ENTOMOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE";54
"150";"BIODIVERSIDADE";"SUSTENTABILIDADE DE ECOSSISTEMAS COSTEIROS E MARINHOS";53
"151";"BIODIVERSIDADE";"BIODIVERSIDADE ANIMAL";52
"152";"BIODIVERSIDADE";"BIODIVERSIDADE AQUÁTICA";52
"153";"BIODIVERSIDADE";"BIODIVERSIDADE E BIOLOGIA EVOLUTIVA";50
"154";"BIODIVERSIDADE";"BIOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS";48
"155";"BIODIVERSIDADE";"CONSERVAÇÃO DA FAUNA";46
"156";"BIODIVERSIDADE";"BIODIVERSIDADE E USO DOS RECURSOS NATURAIS";45
"157";"BIODIVERSIDADE";"SISTEMAS AQUÁTICOS TROPICAIS";44
"158";"BIODIVERSIDADE";"EVOLUÇÃO E DIVERSIDADE";40
"159";"BIODIVERSIDADE";"BIOCIÊNCIAS (ZOOLOGIA)";38
"160";"BIODIVERSIDADE";"SISTEMÁTICA E EVOLUÇÃO";38
"161";"BIODIVERSIDADE";"SISTEMÁTICA, TAXONOMIA ANIMAL E BIODIVERSIDADE";38
"162";"BIODIVERSIDADE";"BIODIVERSIDADE";36
"163";"BIODIVERSIDADE";"BIOLOGIA AMBIENTAL";36
"164";"BIODIVERSIDADE";"GENÉTICA, BIODIVERSIDADE E CONSERVAÇÃO";36
"165";"BIODIVERSIDADE";"BIOLOGIA";35
"166";"BIODIVERSIDADE";"BIOLOGIA EVOLUTIVA";32
"167";"BIODIVERSIDADE";"CONSERVAÇÃO DA BIODIVERSIDADE E DESENVOLVIMENTO SUSTENTÁVEL";30
"168";"BIODIVERSIDADE";"ECOLOGIA DE ECOSSISTEMAS";30
"169";"BIODIVERSIDADE";"ETNOBIOLOGIA E CONSERVAÇÃO DA NATUREZA";29
"170";"BIODIVERSIDADE";"GENÉTICA E BIODIVERSIDADE";28
"171";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (BIOLOGIA VEGETAL)";27
"172";"BIODIVERSIDADE";"ECOLOGIA E MONITORAMENTO AMBIENTAL";24
"173";"BIODIVERSIDADE";"RECURSOS AQUÁTICOS CONTINENTAIS AMAZÔNICOS";24
"174";"BIODIVERSIDADE";"ECOLOGIA E BIODIVERSIDADE";23
"175";"BIODIVERSIDADE";"BIOCIÊNCIAS";22
"176";"BIODIVERSIDADE";"BIODIVERSIDADE VEGETAL E MEIO AMBIENTE";22
"177";"BIODIVERSIDADE";"SISTEMAS COSTEIROS E OCEÂNICOS";22
"178";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO DE RECURSOS NATURAIS";21
"179";"BIODIVERSIDADE";"BIOLOGIA DE FUNGOS, ALGAS E PLANTAS";19
"180";"BIODIVERSIDADE";"PERICIAS CRIMINAIS AMBIENTAIS";19
"181";"BIODIVERSIDADE";"ECOLOGIA APLICADA";17
"182";"BIODIVERSIDADE";"BIOLOGIA DE FUNGOS";14
"183";"BIODIVERSIDADE";"DIVERSIDADE BIOLÓGICA E CONSERVAÇÃO NOS TRÓPICOS";14
"184";"BIODIVERSIDADE";"ECOLOGIA (CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE)";14
"185";"BIODIVERSIDADE";"ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS";11
"186";"BIODIVERSIDADE";"BIODIVERSIDADE EM UNIDADES DE CONSERVAÇÃO";7
"187";"BIODIVERSIDADE";"ECOLOGIA E MANEJO DE RECURSOS NATURAIS";5
"188";"BIODIVERSIDADE";"DIVERSIDADE BIOLÓGICA E CONSERVAÇÃO";1
"189";"BIOTECNOLOGIA";"BIOTECNOLOGIA";1603
"190";"BIOTECNOLOGIA";"BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE";541
"191";"BIOTECNOLOGIA";"BIOTECNOLOGIA - REDE RENORBIO";192
"192";"BIOTECNOLOGIA";"BIOTECNOLOGIA INDUSTRIAL";114
"193";"BIOTECNOLOGIA";"BIOTECNOLOGIA E BIODIVERSIDADE - REDE PRÓ-CENTRO-OESTE";111
"194";"BIOTECNOLOGIA";"BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL";98
"195";"BIOTECNOLOGIA";"BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA";83
"196";"BIOTECNOLOGIA";"CIÊNCIAS GENÔMICAS E BIOTECNOLOGIA";64
"197";"BIOTECNOLOGIA";"CIÊNCIAS NATURAIS E BIOTECNOLOGIA";64
"198";"BIOTECNOLOGIA";"BIOQUÍMICA";63
"199";"BIOTECNOLOGIA";"ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA";63
"200";"BIOTECNOLOGIA";"BIOTECNOLOGIA FARMACÊUTICA";57
"201";"BIOTECNOLOGIA";"BIOTECNOLOGIA E BIOCIÊNCIAS";46
"202";"BIOTECNOLOGIA";"BIOTECNOLOGIA DE RECURSOS NATURAIS";45
"203";"BIOTECNOLOGIA";"BIOTECNOLOGIA VEGETAL";42
"204";"BIOTECNOLOGIA";"BIOTECNOLOGIA APLICADA À AGROPECUÁRIA";41
"205";"BIOTECNOLOGIA";"BIOTECNOLOGIA E MONITORAMENTO AMBIENTAL";39
"206";"BIOTECNOLOGIA";"CIÊNCIAS E BIOTECNOLOGIA";39
"207";"BIOTECNOLOGIA";"CIÊNCIA E BIOTECNOLOGIA";33
"208";"BIOTECNOLOGIA";"BIOTECNOCIÊNCIA";31
"209";"BIOTECNOLOGIA";"BIOTECNOLOGIA MARINHA";30
"210";"BIOTECNOLOGIA";"BIOTECNOLOGIA E GESTÃO VITIVINÍCOLA";22
"211";"BIOTECNOLOGIA";"BIOTECNOLOGIA E GESTÃO DA INOVAÇÃO";20
"212";"BIOTECNOLOGIA";"PESQUISA E DESENVOLVIMENTO (BIOTECNOLOGIA MÉDICA)";20
"213";"BIOTECNOLOGIA";"BIOTECNOLOGIA E INOVAÇÃO EM SAÚDE";16
"214";"BIOTECNOLOGIA";"BIOTECNOLOGIA AMBIENTAL";15
"215";"BIOTECNOLOGIA";"BIOPRODUTOS E BIOPROCESSOS";12
"216";"BIOTECNOLOGIA";"TECNOLOGIAS DE BIOPRODUTOS AGROINDUSTRIAIS";10
"217";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO";1321
"218";"CIÊNCIA DA COMPUTAÇÃO";"INFORMÁTICA";652
"219";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIAS DA COMPUTAÇÃO";552
"220";"CIÊNCIA DA COMPUTAÇÃO";"COMPUTAÇÃO";312
"221";"CIÊNCIA DA COMPUTAÇÃO";"COMPUTAÇÃO APLICADA";206
"222";"CIÊNCIA DA COMPUTAÇÃO";"SISTEMAS E COMPUTAÇÃO";116
"223";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL";85
"224";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DA COMPUTAÇÃO";77
"225";"CIÊNCIA DA COMPUTAÇÃO";"INFORMÁTICA APLICADA";67
"226";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UFBA - UNIFACS - UEFS";53
"227";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE SISTEMAS E COMPUTAÇÃO";52
"228";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA";40
"229";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA E TECNOLOGIA DA COMPUTAÇÃO";33
"230";"CIÊNCIA DA COMPUTAÇÃO";"SISTEMAS DE INFORMAÇÃO";32
"231";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UFMS - UFG";27
"232";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE COMPUTAÇÃO E SISTEMAS";24
"233";"CIÊNCIA DA COMPUTAÇÃO";"ENGENHARIA DE SOFTWARE";22
"234";"CIÊNCIA DA COMPUTAÇÃO";"CIÊNCIA DA COMPUTAÇÃO - UFBA - UEFS";18
"235";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";545
"236";"CIÊNCIA DE ALIMENTOS";"TECNOLOGIA DE ALIMENTOS";104
"237";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DO LEITE E DERIVADOS";79
"238";"CIÊNCIA DE ALIMENTOS";"ENGENHARIA DE ALIMENTOS";79
"239";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA DE ALIMENTOS";69
"240";"CIÊNCIA DE ALIMENTOS";"TECNOLOGIA AGROALIMENTAR";66
"241";"CIÊNCIA DE ALIMENTOS";"ALIMENTOS E NUTRIÇÃO";56
"242";"CIÊNCIA DE ALIMENTOS";"CIÊNCIAS DOS ALIMENTOS";44
"243";"CIÊNCIA DE ALIMENTOS";"CIÊNCIAS DE ALIMENTOS";43
"244";"CIÊNCIA DE ALIMENTOS";"ENGENHARIA E CIÊNCIA DE ALIMENTOS";40
"245";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DOS ALIMENTOS";22
"246";"CIÊNCIA DE ALIMENTOS";"CIÊNCIA E TECNOLOGIA DE LEITE E DERIVADOS";10
"247";"CIÊNCIA DE ALIMENTOS";"PÓS GRADUAÇÃO EM TECNOLOGIA DE ALIMENTOS";10
"248";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIÊNCIA POLÍTICA";502
